f, omegaSens, omegaSW
1e-06, 0.00116723, 5.40043e-19
1.0081e-06, 0.00113933, 5.53273e-19
1.01626e-06, 0.0011121, 5.66817e-19
1.02448e-06, 0.00108552, 5.80683e-19
1.03278e-06, 0.00105958, 5.94911e-19
1.04114e-06, 0.00103426, 6.09475e-19
1.04957e-06, 0.00100954, 6.244e-19
1.05806e-06, 0.000985415, 6.39675e-19
1.06663e-06, 0.000961864, 6.55345e-19
1.07527e-06, 0.000938877, 6.714e-19
1.08397e-06, 0.000916439, 6.87829e-19
1.09275e-06, 0.000894537, 7.04678e-19
1.10159e-06, 0.000873158, 7.21919e-19
1.11051e-06, 0.000852291, 7.39598e-19
1.1195e-06, 0.000831922, 7.57706e-19
1.12856e-06, 0.00081204, 7.76251e-19
1.1377e-06, 0.000792633, 7.95265e-19
1.14691e-06, 0.00077369, 8.14735e-19
1.1562e-06, 0.0007552, 8.34694e-19
1.16556e-06, 0.000737151, 8.5513e-19
1.17499e-06, 0.000719534, 8.76054e-19
1.1845e-06, 0.000702338, 8.97498e-19
1.19409e-06, 0.000685553, 9.19474e-19
1.20376e-06, 0.000669169, 9.41993e-19
1.21351e-06, 0.000653177, 9.65069e-19
1.22333e-06, 0.000637566, 9.88687e-19
1.23323e-06, 0.000622329, 1.01289e-18
1.24322e-06, 0.000607456, 1.0377e-18
1.25328e-06, 0.000592939, 1.0631e-18
1.26343e-06, 0.000578768, 1.08913e-18
1.27366e-06, 0.000564936, 1.11581e-18
1.28397e-06, 0.000551435, 1.14312e-18
1.29436e-06, 0.000538256, 1.1711e-18
1.30484e-06, 0.000525393, 1.19977e-18
1.31541e-06, 0.000512836, 1.22917e-18
1.32605e-06, 0.00050058, 1.25924e-18
1.33679e-06, 0.000488617, 1.29008e-18
1.34761e-06, 0.00047694, 1.32166e-18
1.35852e-06, 0.000465541, 1.35402e-18
1.36952e-06, 0.000454415, 1.38718e-18
1.38061e-06, 0.000443555, 1.42115e-18
1.39178e-06, 0.000432955, 1.45593e-18
1.40305e-06, 0.000422608, 1.49158e-18
1.41441e-06, 0.000412508, 1.52811e-18
1.42586e-06, 0.000402649, 1.56552e-18
1.4374e-06, 0.000393027, 1.60384e-18
1.44904e-06, 0.000383634, 1.64312e-18
1.46077e-06, 0.000374465, 1.68334e-18
1.4726e-06, 0.000365516, 1.72457e-18
1.48452e-06, 0.000356781, 1.76679e-18
1.49654e-06, 0.000348254, 1.81006e-18
1.50865e-06, 0.000339931, 1.85435e-18
1.52087e-06, 0.000331807, 1.89978e-18
1.53318e-06, 0.000323877, 1.94629e-18
1.54559e-06, 0.000316137, 1.99393e-18
1.5581e-06, 0.000308582, 2.04274e-18
1.57072e-06, 0.000301207, 2.09278e-18
1.58343e-06, 0.000294009, 2.14399e-18
1.59625e-06, 0.000286982, 2.19649e-18
1.60918e-06, 0.000280124, 2.2503e-18
1.6222e-06, 0.000273429, 2.30537e-18
1.63534e-06, 0.000266894, 2.36184e-18
1.64857e-06, 0.000260516, 2.41963e-18
1.66192e-06, 0.00025429, 2.47889e-18
1.67538e-06, 0.000248213, 2.53961e-18
1.68894e-06, 0.000242281, 2.60177e-18
1.70261e-06, 0.000236491, 2.66546e-18
1.7164e-06, 0.000230839, 2.73075e-18
1.73029e-06, 0.000225322, 2.79758e-18
1.7443e-06, 0.000219937, 2.86609e-18
1.75842e-06, 0.000214681, 2.93626e-18
1.77266e-06, 0.00020955, 3.00817e-18
1.78701e-06, 0.000204542, 3.08182e-18
1.80147e-06, 0.000199654, 3.15724e-18
1.81606e-06, 0.000194883, 3.23457e-18
1.83076e-06, 0.000190225, 3.31375e-18
1.84558e-06, 0.000185679, 3.39488e-18
1.86052e-06, 0.000181242, 3.47799e-18
1.87558e-06, 0.00017691, 3.56314e-18
1.89077e-06, 0.000172682, 3.65041e-18
1.90608e-06, 0.000168555, 3.73981e-18
1.92151e-06, 0.000164527, 3.83137e-18
1.93706e-06, 0.000160595, 3.92514e-18
1.95274e-06, 0.000156757, 4.02123e-18
1.96855e-06, 0.000153011, 4.11969e-18
1.98449e-06, 0.000149354, 4.22058e-18
2.00056e-06, 0.000145785, 4.32394e-18
2.01675e-06, 0.000142301, 4.42977e-18
2.03308e-06, 0.0001389, 4.53825e-18
2.04954e-06, 0.00013558, 4.64937e-18
2.06613e-06, 0.00013234, 4.76319e-18
2.08286e-06, 0.000129177, 4.87984e-18
2.09972e-06, 0.00012609, 4.9993e-18
2.11672e-06, 0.000123077, 5.12171e-18
2.13385e-06, 0.000120135, 5.24706e-18
2.15113e-06, 0.000117264, 5.37557e-18
2.16854e-06, 0.000114462, 5.50715e-18
2.1861e-06, 0.000111727, 5.64202e-18
2.2038e-06, 0.000109056, 5.78017e-18
2.22164e-06, 0.00010645, 5.92169e-18
2.23962e-06, 0.000103906, 6.06663e-18
2.25776e-06, 0.000101423, 6.21523e-18
2.27603e-06, 9.89991e-05, 6.36734e-18
2.29446e-06, 9.66331e-05, 6.52327e-18
2.31303e-06, 9.43237e-05, 6.68294e-18
2.33176e-06, 9.20695e-05, 6.8466e-18
2.35064e-06, 8.98692e-05, 7.01426e-18
2.36967e-06, 8.77215e-05, 7.186e-18
2.38885e-06, 8.56251e-05, 7.3619e-18
2.40819e-06, 8.35788e-05, 7.54216e-18
2.42769e-06, 8.15814e-05, 7.72686e-18
2.44734e-06, 7.96317e-05, 7.916e-18
2.46715e-06, 7.77286e-05, 8.10979e-18
2.48713e-06, 7.5871e-05, 8.30842e-18
2.50726e-06, 7.40578e-05, 8.51179e-18
2.52756e-06, 7.2288e-05, 8.72021e-18
2.54802e-06, 7.05604e-05, 8.93369e-18
2.56865e-06, 6.88741e-05, 9.15245e-18
2.58944e-06, 6.72281e-05, 9.37648e-18
2.61041e-06, 6.56215e-05, 9.60613e-18
2.63154e-06, 6.40533e-05, 9.84129e-18
2.65284e-06, 6.25225e-05, 1.00822e-17
2.67432e-06, 6.10283e-05, 1.03291e-17
2.69597e-06, 5.95698e-05, 1.0582e-17
2.7178e-06, 5.81462e-05, 1.08411e-17
2.7398e-06, 5.67566e-05, 1.11065e-17
2.76198e-06, 5.54002e-05, 1.13784e-17
2.78434e-06, 5.40763e-05, 1.1657e-17
2.80688e-06, 5.27839e-05, 1.19424e-17
2.82961e-06, 5.15225e-05, 1.22349e-17
2.85251e-06, 5.02912e-05, 1.25344e-17
2.87561e-06, 4.90893e-05, 1.28413e-17
2.89889e-06, 4.79162e-05, 1.31557e-17
2.92235e-06, 4.67711e-05, 1.34777e-17
2.94601e-06, 4.56533e-05, 1.38077e-17
2.96986e-06, 4.45623e-05, 1.41458e-17
2.99391e-06, 4.34973e-05, 1.44923e-17
3.01814e-06, 4.24578e-05, 1.4847e-17
3.04258e-06, 4.14432e-05, 1.52106e-17
3.06721e-06, 4.04528e-05, 1.5583e-17
3.09204e-06, 3.9486e-05, 1.59645e-17
3.11707e-06, 3.85424e-05, 1.63553e-17
3.14231e-06, 3.76213e-05, 1.67558e-17
3.16775e-06, 3.67222e-05, 1.71661e-17
3.19339e-06, 3.58446e-05, 1.75863e-17
3.21924e-06, 3.4988e-05, 1.80168e-17
3.24531e-06, 3.41519e-05, 1.84581e-17
3.27158e-06, 3.33357e-05, 1.891e-17
3.29806e-06, 3.25391e-05, 1.93728e-17
3.32476e-06, 3.17614e-05, 1.98472e-17
3.35168e-06, 3.10024e-05, 2.03332e-17
3.37881e-06, 3.02615e-05, 2.08309e-17
3.40617e-06, 2.95383e-05, 2.1341e-17
3.43374e-06, 2.88324e-05, 2.18635e-17
3.46154e-06, 2.81434e-05, 2.23988e-17
3.48957e-06, 2.74708e-05, 2.29473e-17
3.51782e-06, 2.68143e-05, 2.35091e-17
3.5463e-06, 2.61735e-05, 2.40847e-17
3.575e-06, 2.5548e-05, 2.46742e-17
3.60395e-06, 2.49375e-05, 2.52785e-17
3.63312e-06, 2.43415e-05, 2.58973e-17
3.66254e-06, 2.37598e-05, 2.65315e-17
3.69219e-06, 2.3192e-05, 2.71811e-17
3.72208e-06, 2.26378e-05, 2.78466e-17
3.75221e-06, 2.20968e-05, 2.85283e-17
3.78259e-06, 2.15687e-05, 2.92268e-17
3.81321e-06, 2.10533e-05, 2.99423e-17
3.84408e-06, 2.05502e-05, 3.06754e-17
3.8752e-06, 2.00591e-05, 3.14265e-17
3.90657e-06, 1.95797e-05, 3.21958e-17
3.9382e-06, 1.91118e-05, 3.29842e-17
3.97008e-06, 1.86551e-05, 3.37917e-17
4.00222e-06, 1.82093e-05, 3.4619e-17
4.03462e-06, 1.77741e-05, 3.54666e-17
4.06729e-06, 1.73494e-05, 3.63351e-17
4.10021e-06, 1.69348e-05, 3.72245e-17
4.13341e-06, 1.65301e-05, 3.81361e-17
4.16687e-06, 1.6135e-05, 3.90697e-17
4.2006e-06, 1.57495e-05, 4.00262e-17
4.23461e-06, 1.53731e-05, 4.10062e-17
4.26889e-06, 1.50057e-05, 4.20102e-17
4.30345e-06, 1.46471e-05, 4.30387e-17
4.33829e-06, 1.42971e-05, 4.40925e-17
4.37341e-06, 1.39554e-05, 4.5172e-17
4.40882e-06, 1.36219e-05, 4.62781e-17
4.44451e-06, 1.32964e-05, 4.7411e-17
4.48049e-06, 1.29787e-05, 4.85718e-17
4.51676e-06, 1.26685e-05, 4.97609e-17
4.55333e-06, 1.23658e-05, 5.09793e-17
4.59019e-06, 1.20703e-05, 5.22274e-17
4.62735e-06, 1.17818e-05, 5.3506e-17
4.66481e-06, 1.15003e-05, 5.4816e-17
4.70258e-06, 1.12255e-05, 5.61583e-17
4.74065e-06, 1.09572e-05, 5.75332e-17
4.77903e-06, 1.06954e-05, 5.89418e-17
4.81772e-06, 1.04398e-05, 6.03849e-17
4.85672e-06, 1.01903e-05, 6.18632e-17
4.89604e-06, 9.94679e-06, 6.33779e-17
4.93568e-06, 9.7091e-06, 6.49297e-17
4.97563e-06, 9.47708e-06, 6.65191e-17
5.01592e-06, 9.25061e-06, 6.81481e-17
5.05652e-06, 9.02956e-06, 6.98162e-17
5.09746e-06, 8.81378e-06, 7.15257e-17
5.13873e-06, 8.60316e-06, 7.3277e-17
5.18033e-06, 8.39758e-06, 7.5071e-17
5.22227e-06, 8.19691e-06, 7.6909e-17
5.26454e-06, 8.00103e-06, 7.87916e-17
5.30716e-06, 7.80984e-06, 8.07207e-17
5.35013e-06, 7.62321e-06, 8.26972e-17
5.39344e-06, 7.44104e-06, 8.47217e-17
5.4371e-06, 7.26323e-06, 8.67958e-17
5.48112e-06, 7.08967e-06, 8.8921e-17
5.52549e-06, 6.92025e-06, 9.10978e-17
5.57023e-06, 6.75489e-06, 9.33285e-17
5.61532e-06, 6.59347e-06, 9.56132e-17
5.66078e-06, 6.43592e-06, 9.79541e-17
5.70661e-06, 6.28213e-06, 1.00352e-16
5.75281e-06, 6.13201e-06, 1.02809e-16
5.79938e-06, 5.98548e-06, 1.05326e-16
5.84633e-06, 5.84245e-06, 1.07905e-16
5.89366e-06, 5.70284e-06, 1.10547e-16
5.94137e-06, 5.56657e-06, 1.13253e-16
5.98947e-06, 5.43355e-06, 1.16026e-16
6.03796e-06, 5.30372e-06, 1.18867e-16
6.08684e-06, 5.17698e-06, 1.21777e-16
6.13612e-06, 5.05328e-06, 1.24758e-16
6.1858e-06, 4.93253e-06, 1.27813e-16
6.23588e-06, 4.81466e-06, 1.30942e-16
6.28636e-06, 4.69962e-06, 1.34148e-16
6.33725e-06, 4.58732e-06, 1.37432e-16
6.38856e-06, 4.4777e-06, 1.40797e-16
6.44028e-06, 4.37071e-06, 1.44244e-16
6.49241e-06, 4.26627e-06, 1.47775e-16
6.54497e-06, 4.16433e-06, 1.51393e-16
6.59796e-06, 4.06482e-06, 1.55099e-16
6.65138e-06, 3.9677e-06, 1.58897e-16
6.70522e-06, 3.87289e-06, 1.62787e-16
6.75951e-06, 3.78035e-06, 1.66772e-16
6.81423e-06, 3.69002e-06, 1.70855e-16
6.86939e-06, 3.60185e-06, 1.75038e-16
6.92501e-06, 3.51578e-06, 1.79324e-16
6.98107e-06, 3.43178e-06, 1.83714e-16
7.03759e-06, 3.34978e-06, 1.88212e-16
7.09456e-06, 3.26974e-06, 1.92819e-16
7.152e-06, 3.19161e-06, 1.9754e-16
7.2099e-06, 3.11535e-06, 2.02376e-16
7.26826e-06, 3.04091e-06, 2.0733e-16
7.32711e-06, 2.96825e-06, 2.12407e-16
7.38642e-06, 2.89733e-06, 2.17606e-16
7.44622e-06, 2.8281e-06, 2.22934e-16
7.5065e-06, 2.76053e-06, 2.28391e-16
7.56727e-06, 2.69457e-06, 2.33983e-16
7.62854e-06, 2.63019e-06, 2.39712e-16
7.69029e-06, 2.56735e-06, 2.45579e-16
7.75255e-06, 2.506e-06, 2.51592e-16
7.81531e-06, 2.44613e-06, 2.57751e-16
7.87858e-06, 2.38768e-06, 2.64061e-16
7.94237e-06, 2.33063e-06, 2.70526e-16
8.00667e-06, 2.27495e-06, 2.77149e-16
8.07149e-06, 2.22059e-06, 2.83934e-16
8.13683e-06, 2.16754e-06, 2.90885e-16
8.2027e-06, 2.11575e-06, 2.98006e-16
8.26911e-06, 2.0652e-06, 3.05302e-16
8.33605e-06, 2.01586e-06, 3.12776e-16
8.40354e-06, 1.96769e-06, 3.20433e-16
8.47157e-06, 1.92068e-06, 3.28278e-16
8.54015e-06, 1.87479e-06, 3.36314e-16
8.60929e-06, 1.83e-06, 3.44547e-16
8.67899e-06, 1.78628e-06, 3.52982e-16
8.74925e-06, 1.7436e-06, 3.61623e-16
8.82008e-06, 1.70195e-06, 3.70476e-16
8.89149e-06, 1.66128e-06, 3.79546e-16
8.96347e-06, 1.62159e-06, 3.88838e-16
9.03604e-06, 1.58285e-06, 3.98357e-16
9.10919e-06, 1.54504e-06, 4.08109e-16
9.18293e-06, 1.50812e-06, 4.18099e-16
9.25728e-06, 1.47209e-06, 4.28336e-16
9.33222e-06, 1.43693e-06, 4.38821e-16
9.40777e-06, 1.4026e-06, 4.49563e-16
9.48393e-06, 1.36909e-06, 4.60568e-16
9.56071e-06, 1.33638e-06, 4.71843e-16
9.63811e-06, 1.30445e-06, 4.83394e-16
9.71614e-06, 1.27329e-06, 4.95228e-16
9.7948e-06, 1.24287e-06, 5.07352e-16
9.87409e-06, 1.21318e-06, 5.19771e-16
9.95403e-06, 1.1842e-06, 5.32495e-16
1.00346e-05, 1.15591e-06, 5.45528e-16
1.01159e-05, 1.1283e-06, 5.58893e-16
1.01977e-05, 1.10134e-06, 5.72559e-16
1.02803e-05, 1.07503e-06, 5.86582e-16
1.03635e-05, 1.04935e-06, 6.00937e-16
1.04474e-05, 1.02428e-06, 6.15648e-16
1.0532e-05, 9.99816e-07, 6.30722e-16
1.06173e-05, 9.75932e-07, 6.46169e-16
1.07032e-05, 9.52619e-07, 6.61976e-16
1.07899e-05, 9.29863e-07, 6.78191e-16
1.08772e-05, 9.07651e-07, 6.94782e-16
1.09653e-05, 8.8597e-07, 7.11798e-16
1.10541e-05, 8.64807e-07, 7.29228e-16
1.11435e-05, 8.44149e-07, 7.4706e-16
1.12338e-05, 8.23985e-07, 7.65365e-16
1.13247e-05, 8.04303e-07, 7.84091e-16
1.14164e-05, 7.85091e-07, 8.03288e-16
1.15088e-05, 7.66339e-07, 8.22947e-16
1.1602e-05, 7.48034e-07, 8.43097e-16
1.16959e-05, 7.30167e-07, 8.63729e-16
1.17906e-05, 7.12726e-07, 8.84875e-16
1.1886e-05, 6.95703e-07, 9.06523e-16
1.19823e-05, 6.79086e-07, 9.28731e-16
1.20793e-05, 6.62866e-07, 9.51463e-16
1.21771e-05, 6.47034e-07, 9.74755e-16
1.22757e-05, 6.3158e-07, 9.98619e-16
1.2375e-05, 6.16495e-07, 1.02304e-15
1.24752e-05, 6.01771e-07, 1.04809e-15
1.25762e-05, 5.87398e-07, 1.07375e-15
1.2678e-05, 5.73369e-07, 1.10002e-15
1.27807e-05, 5.59675e-07, 1.12697e-15
1.28841e-05, 5.46309e-07, 1.15453e-15
1.29884e-05, 5.33261e-07, 1.18279e-15
1.30936e-05, 5.20526e-07, 1.21176e-15
1.31996e-05, 5.08095e-07, 1.24142e-15
1.33064e-05, 4.95961e-07, 1.27178e-15
1.34142e-05, 4.84116e-07, 1.30294e-15
1.35228e-05, 4.72555e-07, 1.33483e-15
1.36322e-05, 4.6127e-07, 1.36748e-15
1.37426e-05, 4.50255e-07, 1.40096e-15
1.38539e-05, 4.39502e-07, 1.43526e-15
1.3966e-05, 4.29007e-07, 1.47037e-15
1.40791e-05, 4.18762e-07, 1.50637e-15
1.41931e-05, 4.08763e-07, 1.54325e-15
1.4308e-05, 3.99002e-07, 1.58102e-15
1.44238e-05, 3.89474e-07, 1.61971e-15
1.45406e-05, 3.80174e-07, 1.65936e-15
1.46583e-05, 3.71096e-07, 1.69997e-15
1.47769e-05, 3.62235e-07, 1.74155e-15
1.48966e-05, 3.53586e-07, 1.7842e-15
1.50172e-05, 3.45144e-07, 1.82787e-15
1.51388e-05, 3.36903e-07, 1.87261e-15
1.52613e-05, 3.28859e-07, 1.91842e-15
1.53849e-05, 3.21007e-07, 1.96539e-15
1.55094e-05, 3.13343e-07, 2.01347e-15
1.5635e-05, 3.05861e-07, 2.06277e-15
1.57615e-05, 2.98559e-07, 2.11322e-15
1.58891e-05, 2.91431e-07, 2.16494e-15
1.60178e-05, 2.84474e-07, 2.21795e-15
1.61475e-05, 2.77682e-07, 2.27224e-15
1.62782e-05, 2.71053e-07, 2.32784e-15
1.641e-05, 2.64582e-07, 2.38481e-15
1.65428e-05, 2.58266e-07, 2.44315e-15
1.66767e-05, 2.52101e-07, 2.50293e-15
1.68117e-05, 2.46083e-07, 2.56418e-15
1.69478e-05, 2.40208e-07, 2.62693e-15
1.70851e-05, 2.34474e-07, 2.69126e-15
1.72234e-05, 2.28878e-07, 2.75711e-15
1.73628e-05, 2.23414e-07, 2.82457e-15
1.75034e-05, 2.18082e-07, 2.89371e-15
1.76451e-05, 2.12876e-07, 2.96452e-15
1.77879e-05, 2.07795e-07, 3.03704e-15
1.79319e-05, 2.02836e-07, 3.11135e-15
1.80771e-05, 1.97995e-07, 3.1875e-15
1.82234e-05, 1.93269e-07, 3.26548e-15
1.8371e-05, 1.88657e-07, 3.34542e-15
1.85197e-05, 1.84154e-07, 3.42727e-15
1.86696e-05, 1.79759e-07, 3.51111e-15
1.88208e-05, 1.75469e-07, 3.59706e-15
1.89731e-05, 1.71282e-07, 3.68504e-15
1.91267e-05, 1.67195e-07, 3.77521e-15
1.92816e-05, 1.63205e-07, 3.86761e-15
1.94377e-05, 1.5931e-07, 3.96225e-15
1.9595e-05, 1.55509e-07, 4.05916e-15
1.97537e-05, 1.51798e-07, 4.15852e-15
1.99136e-05, 1.48176e-07, 4.26025e-15
2.00748e-05, 1.44641e-07, 4.36448e-15
2.02373e-05, 1.4119e-07, 4.47125e-15
2.04012e-05, 1.37821e-07, 4.5807e-15
2.05663e-05, 1.34533e-07, 4.69273e-15
2.07328e-05, 1.31324e-07, 4.80754e-15
2.09007e-05, 1.28191e-07, 4.9252e-15
2.10699e-05, 1.25133e-07, 5.04569e-15
2.12404e-05, 1.22148e-07, 5.16908e-15
2.14124e-05, 1.19234e-07, 5.29557e-15
2.15857e-05, 1.1639e-07, 5.42509e-15
2.17605e-05, 1.13614e-07, 5.55785e-15
2.19367e-05, 1.10904e-07, 5.69384e-15
2.21143e-05, 1.08258e-07, 5.83314e-15
2.22933e-05, 1.05676e-07, 5.97581e-15
2.24738e-05, 1.03156e-07, 6.12202e-15
2.26557e-05, 1.00696e-07, 6.27174e-15
2.28391e-05, 9.82944e-08, 6.42515e-15
2.3024e-05, 9.59503e-08, 6.58232e-15
2.32104e-05, 9.36622e-08, 6.74334e-15
2.33983e-05, 9.14288e-08, 6.90829e-15
2.35877e-05, 8.92487e-08, 7.07725e-15
2.37787e-05, 8.71206e-08, 7.2504e-15
2.39712e-05, 8.50434e-08, 7.42774e-15
2.41653e-05, 8.30158e-08, 7.60945e-15
2.43609e-05, 8.10366e-08, 7.79554e-15
2.45581e-05, 7.91046e-08, 7.98619e-15
2.47569e-05, 7.72188e-08, 8.1815e-15
2.49574e-05, 7.5378e-08, 8.38168e-15
2.51594e-05, 7.35812e-08, 8.58663e-15
2.53631e-05, 7.18273e-08, 8.79665e-15
2.55684e-05, 7.01153e-08, 9.01175e-15
2.57754e-05, 6.84441e-08, 9.23215e-15
2.59841e-05, 6.68128e-08, 9.45797e-15
2.61944e-05, 6.52205e-08, 9.6892e-15
2.64065e-05, 6.36662e-08, 9.92619e-15
2.66203e-05, 6.21491e-08, 1.01689e-14
2.68358e-05, 6.06681e-08, 1.04176e-14
2.7053e-05, 5.92225e-08, 1.06723e-14
2.72721e-05, 5.78114e-08, 1.09334e-14
2.74928e-05, 5.64341e-08, 1.12006e-14
2.77154e-05, 5.50895e-08, 1.14745e-14
2.79398e-05, 5.37771e-08, 1.17551e-14
2.8166e-05, 5.24961e-08, 1.20425e-14
2.8394e-05, 5.12456e-08, 1.2337e-14
2.86239e-05, 5.00249e-08, 1.26386e-14
2.88556e-05, 4.88334e-08, 1.29476e-14
2.90892e-05, 4.76704e-08, 1.32641e-14
2.93247e-05, 4.65351e-08, 1.35884e-14
2.95621e-05, 4.54269e-08, 1.39206e-14
2.98014e-05, 4.43451e-08, 1.42609e-14
3.00427e-05, 4.32892e-08, 1.46096e-14
3.02859e-05, 4.22585e-08, 1.49667e-14
3.05311e-05, 4.12524e-08, 1.53326e-14
3.07783e-05, 4.02703e-08, 1.57074e-14
