f, omegaSens, omegaSW
1e-06, 0.00116723, 1.16796e-20
1.0081e-06, 0.00113933, 1.19657e-20
1.01626e-06, 0.0011121, 1.22587e-20
1.02448e-06, 0.00108552, 1.25585e-20
1.03278e-06, 0.00105958, 1.28662e-20
1.04114e-06, 0.00103426, 1.31812e-20
1.04957e-06, 0.00100954, 1.3504e-20
1.05806e-06, 0.000985415, 1.38344e-20
1.06663e-06, 0.000961864, 1.41733e-20
1.07527e-06, 0.000938877, 1.45205e-20
1.08397e-06, 0.000916439, 1.48758e-20
1.09275e-06, 0.000894537, 1.52402e-20
1.10159e-06, 0.000873158, 1.56131e-20
1.11051e-06, 0.000852291, 1.59954e-20
1.1195e-06, 0.000831922, 1.6387e-20
1.12856e-06, 0.00081204, 1.67881e-20
1.1377e-06, 0.000792633, 1.71993e-20
1.14691e-06, 0.00077369, 1.76204e-20
1.1562e-06, 0.0007552, 1.80521e-20
1.16556e-06, 0.000737151, 1.84941e-20
1.17499e-06, 0.000719534, 1.89466e-20
1.1845e-06, 0.000702338, 1.94103e-20
1.19409e-06, 0.000685553, 1.98856e-20
1.20376e-06, 0.000669169, 2.03727e-20
1.21351e-06, 0.000653177, 2.08717e-20
1.22333e-06, 0.000637566, 2.13825e-20
1.23323e-06, 0.000622329, 2.19059e-20
1.24322e-06, 0.000607456, 2.24425e-20
1.25328e-06, 0.000592939, 2.29918e-20
1.26343e-06, 0.000578768, 2.35549e-20
1.27366e-06, 0.000564936, 2.41317e-20
1.28397e-06, 0.000551435, 2.47225e-20
1.29436e-06, 0.000538256, 2.53276e-20
1.30484e-06, 0.000525393, 2.59478e-20
1.31541e-06, 0.000512836, 2.65835e-20
1.32605e-06, 0.00050058, 2.72338e-20
1.33679e-06, 0.000488617, 2.79009e-20
1.34761e-06, 0.00047694, 2.85838e-20
1.35852e-06, 0.000465541, 2.92837e-20
1.36952e-06, 0.000454415, 3.00008e-20
1.38061e-06, 0.000443555, 3.07355e-20
1.39178e-06, 0.000432955, 3.14876e-20
1.40305e-06, 0.000422608, 3.22587e-20
1.41441e-06, 0.000412508, 3.30487e-20
1.42586e-06, 0.000402649, 3.38578e-20
1.4374e-06, 0.000393027, 3.46865e-20
1.44904e-06, 0.000383634, 3.5536e-20
1.46077e-06, 0.000374465, 3.6406e-20
1.4726e-06, 0.000365516, 3.72977e-20
1.48452e-06, 0.000356781, 3.82108e-20
1.49654e-06, 0.000348254, 3.91465e-20
1.50865e-06, 0.000339931, 4.01045e-20
1.52087e-06, 0.000331807, 4.10869e-20
1.53318e-06, 0.000323877, 4.20927e-20
1.54559e-06, 0.000316137, 4.31231e-20
1.5581e-06, 0.000308582, 4.41788e-20
1.57072e-06, 0.000301207, 4.5261e-20
1.58343e-06, 0.000294009, 4.63686e-20
1.59625e-06, 0.000286982, 4.7504e-20
1.60918e-06, 0.000280124, 4.86678e-20
1.6222e-06, 0.000273429, 4.98587e-20
1.63534e-06, 0.000266894, 5.10801e-20
1.64857e-06, 0.000260516, 5.23299e-20
1.66192e-06, 0.00025429, 5.36115e-20
1.67538e-06, 0.000248213, 5.49246e-20
