f, omegaSens, omegaSW
1e-06, 0.00116723, 1.85704e-20
1.0081e-06, 0.00113933, 1.90254e-20
1.01626e-06, 0.0011121, 1.94911e-20
1.02448e-06, 0.00108552, 1.99679e-20
1.03278e-06, 0.00105958, 2.04572e-20
1.04114e-06, 0.00103426, 2.0958e-20
1.04957e-06, 0.00100954, 2.14712e-20
1.05806e-06, 0.000985415, 2.19965e-20
1.06663e-06, 0.000961864, 2.25353e-20
1.07527e-06, 0.000938877, 2.30874e-20
1.08397e-06, 0.000916439, 2.36523e-20
1.09275e-06, 0.000894537, 2.42317e-20
1.10159e-06, 0.000873158, 2.48246e-20
1.11051e-06, 0.000852291, 2.54325e-20
1.1195e-06, 0.000831922, 2.60552e-20
1.12856e-06, 0.00081204, 2.66929e-20
1.1377e-06, 0.000792633, 2.73467e-20
1.14691e-06, 0.00077369, 2.80163e-20
1.1562e-06, 0.0007552, 2.87026e-20
1.16556e-06, 0.000737151, 2.94053e-20
1.17499e-06, 0.000719534, 3.01248e-20
1.1845e-06, 0.000702338, 3.08622e-20
1.19409e-06, 0.000685553, 3.16179e-20
1.20376e-06, 0.000669169, 3.23923e-20
1.21351e-06, 0.000653177, 3.31858e-20
1.22333e-06, 0.000637566, 3.3998e-20
1.23323e-06, 0.000622329, 3.48301e-20
1.24322e-06, 0.000607456, 3.56834e-20
1.25328e-06, 0.000592939, 3.65566e-20
1.26343e-06, 0.000578768, 3.7452e-20
1.27366e-06, 0.000564936, 3.83692e-20
1.28397e-06, 0.000551435, 3.93085e-20
1.29436e-06, 0.000538256, 4.02705e-20
1.30484e-06, 0.000525393, 4.12566e-20
1.31541e-06, 0.000512836, 4.22674e-20
1.32605e-06, 0.00050058, 4.33014e-20
1.33679e-06, 0.000488617, 4.4362e-20
1.34761e-06, 0.00047694, 4.5448e-20
1.35852e-06, 0.000465541, 4.65607e-20
1.36952e-06, 0.000454415, 4.77009e-20
1.38061e-06, 0.000443555, 4.88691e-20
1.39178e-06, 0.000432955, 5.00649e-20
1.40305e-06, 0.000422608, 5.1291e-20
1.41441e-06, 0.000412508, 5.2547e-20
1.42586e-06, 0.000402649, 5.38335e-20
1.4374e-06, 0.000393027, 5.51511e-20
1.44904e-06, 0.000383634, 5.65018e-20
1.46077e-06, 0.000374465, 5.78851e-20
1.4726e-06, 0.000365516, 5.93029e-20
1.48452e-06, 0.000356781, 6.07547e-20
1.49654e-06, 0.000348254, 6.22424e-20
1.50865e-06, 0.000339931, 6.37657e-20
1.52087e-06, 0.000331807, 6.53277e-20
1.53318e-06, 0.000323877, 6.69269e-20
1.54559e-06, 0.000316137, 6.85653e-20
1.5581e-06, 0.000308582, 7.02437e-20
1.57072e-06, 0.000301207, 7.19644e-20
