f, omegaSens, omegaSW
1e-06, 0.00116723, 6.34326e-22
1.0081e-06, 0.00113933, 6.49865e-22
1.01626e-06, 0.0011121, 6.65774e-22
1.02448e-06, 0.00108552, 6.8206e-22
1.03278e-06, 0.00105958, 6.98772e-22
1.04114e-06, 0.00103426, 7.15879e-22
1.04957e-06, 0.00100954, 7.33409e-22
1.05806e-06, 0.000985415, 7.51351e-22
1.06663e-06, 0.000961864, 7.69757e-22
1.07527e-06, 0.000938877, 7.88614e-22
1.08397e-06, 0.000916439, 8.07911e-22
1.09275e-06, 0.000894537, 8.27703e-22
1.10159e-06, 0.000873158, 8.47953e-22
1.11051e-06, 0.000852291, 8.68719e-22
1.1195e-06, 0.000831922, 8.89988e-22
1.12856e-06, 0.00081204, 9.11771e-22
1.1377e-06, 0.000792633, 9.34104e-22
1.14691e-06, 0.00077369, 9.56973e-22
1.1562e-06, 0.0007552, 9.80417e-22
1.16556e-06, 0.000737151, 1.00442e-21
1.17499e-06, 0.000719534, 1.029e-21
1.1845e-06, 0.000702338, 1.05419e-21
1.19409e-06, 0.000685553, 1.08e-21
1.20376e-06, 0.000669169, 1.10645e-21
1.21351e-06, 0.000653177, 1.13355e-21
1.22333e-06, 0.000637566, 1.16129e-21
1.23323e-06, 0.000622329, 1.18972e-21
1.24322e-06, 0.000607456, 1.21886e-21
1.25328e-06, 0.000592939, 1.24869e-21
1.26343e-06, 0.000578768, 1.27928e-21
1.27366e-06, 0.000564936, 1.31061e-21
1.28397e-06, 0.000551435, 1.34269e-21
1.29436e-06, 0.000538256, 1.37555e-21
1.30484e-06, 0.000525393, 1.40923e-21
1.31541e-06, 0.000512836, 1.44376e-21
1.32605e-06, 0.00050058, 1.47908e-21
1.33679e-06, 0.000488617, 1.51531e-21
1.34761e-06, 0.00047694, 1.5524e-21
1.35852e-06, 0.000465541, 1.59041e-21
1.36952e-06, 0.000454415, 1.62936e-21
1.38061e-06, 0.000443555, 1.66926e-21
1.39178e-06, 0.000432955, 1.71011e-21
1.40305e-06, 0.000422608, 1.75199e-21
1.41441e-06, 0.000412508, 1.79489e-21
1.42586e-06, 0.000402649, 1.83883e-21
1.4374e-06, 0.000393027, 1.88384e-21
1.44904e-06, 0.000383634, 1.92998e-21
1.46077e-06, 0.000374465, 1.97723e-21
1.4726e-06, 0.000365516, 2.02565e-21
1.48452e-06, 0.000356781, 2.07524e-21
1.49654e-06, 0.000348254, 2.12606e-21
1.50865e-06, 0.000339931, 2.17809e-21
1.52087e-06, 0.000331807, 2.23145e-21
1.53318e-06, 0.000323877, 2.28607e-21
1.54559e-06, 0.000316137, 2.34204e-21
1.5581e-06, 0.000308582, 2.39937e-21
1.57072e-06, 0.000301207, 2.45814e-21
1.58343e-06, 0.000294009, 2.5183e-21
1.59625e-06, 0.000286982, 2.57996e-21
1.60918e-06, 0.000280124, 2.64317e-21
1.6222e-06, 0.000273429, 2.70784e-21
1.63534e-06, 0.000266894, 2.77418e-21
1.64857e-06, 0.000260516, 2.84205e-21
1.66192e-06, 0.00025429, 2.91166e-21
1.67538e-06, 0.000248213, 2.98298e-21
1.68894e-06, 0.000242281, 3.056e-21
1.70261e-06, 0.000236491, 3.1308e-21
1.7164e-06, 0.000230839, 3.20749e-21
1.73029e-06, 0.000225322, 3.28599e-21
1.7443e-06, 0.000219937, 3.36646e-21
1.75842e-06, 0.000214681, 3.44888e-21
1.77266e-06, 0.00020955, 3.53335e-21
1.78701e-06, 0.000204542, 3.61985e-21
1.80147e-06, 0.000199654, 3.70844e-21
1.81606e-06, 0.000194883, 3.79927e-21
1.83076e-06, 0.000190225, 3.89228e-21
1.84558e-06, 0.000185679, 3.98757e-21
1.86052e-06, 0.000181242, 4.08519e-21
1.87558e-06, 0.00017691, 4.1852e-21
1.89077e-06, 0.000172682, 4.28771e-21
1.90608e-06, 0.000168555, 4.39271e-21
1.92151e-06, 0.000164527, 4.50026e-21
1.93706e-06, 0.000160595, 4.6104e-21
1.95274e-06, 0.000156757, 4.72327e-21
1.96855e-06, 0.000153011, 4.83892e-21
