f, omegaSens, omegaSW
1e-06, 0.00116723, 1.6894e-20
1.0081e-06, 0.00113933, 1.73079e-20
1.01626e-06, 0.0011121, 1.77316e-20
1.02448e-06, 0.00108552, 1.81654e-20
1.03278e-06, 0.00105958, 1.86105e-20
1.04114e-06, 0.00103426, 1.90661e-20
1.04957e-06, 0.00100954, 1.95329e-20
1.05806e-06, 0.000985415, 2.00108e-20
1.06663e-06, 0.000961864, 2.0501e-20
1.07527e-06, 0.000938877, 2.10032e-20
1.08397e-06, 0.000916439, 2.15172e-20
1.09275e-06, 0.000894537, 2.20443e-20
1.10159e-06, 0.000873158, 2.25836e-20
1.11051e-06, 0.000852291, 2.31367e-20
1.1195e-06, 0.000831922, 2.37031e-20
1.12856e-06, 0.00081204, 2.42833e-20
1.1377e-06, 0.000792633, 2.48781e-20
1.14691e-06, 0.00077369, 2.54871e-20
1.1562e-06, 0.0007552, 2.61115e-20
1.16556e-06, 0.000737151, 2.67508e-20
1.17499e-06, 0.000719534, 2.74054e-20
1.1845e-06, 0.000702338, 2.80762e-20
1.19409e-06, 0.000685553, 2.87637e-20
1.20376e-06, 0.000669169, 2.94681e-20
1.21351e-06, 0.000653177, 3.019e-20
1.22333e-06, 0.000637566, 3.09288e-20
1.23323e-06, 0.000622329, 3.16858e-20
1.24322e-06, 0.000607456, 3.24621e-20
1.25328e-06, 0.000592939, 3.32565e-20
1.26343e-06, 0.000578768, 3.40711e-20
1.27366e-06, 0.000564936, 3.49054e-20
1.28397e-06, 0.000551435, 3.576e-20
1.29436e-06, 0.000538256, 3.66351e-20
1.30484e-06, 0.000525393, 3.75322e-20
1.31541e-06, 0.000512836, 3.84517e-20
1.32605e-06, 0.00050058, 3.93924e-20
1.33679e-06, 0.000488617, 4.03573e-20
1.34761e-06, 0.00047694, 4.13452e-20
1.35852e-06, 0.000465541, 4.23575e-20
1.36952e-06, 0.000454415, 4.33948e-20
1.38061e-06, 0.000443555, 4.44575e-20
1.39178e-06, 0.000432955, 4.55453e-20
1.40305e-06, 0.000422608, 4.66607e-20
1.41441e-06, 0.000412508, 4.78033e-20
1.42586e-06, 0.000402649, 4.89737e-20
1.4374e-06, 0.000393027, 5.01724e-20
1.44904e-06, 0.000383634, 5.14012e-20
1.46077e-06, 0.000374465, 5.26596e-20
1.4726e-06, 0.000365516, 5.39494e-20
1.48452e-06, 0.000356781, 5.52701e-20
1.49654e-06, 0.000348254, 5.66235e-20
1.50865e-06, 0.000339931, 5.80092e-20
1.52087e-06, 0.000331807, 5.94303e-20
